time,angle 1,velocity 1,angle 2,velocity 2,torque 1,torque 2
36.15,0.9945603747638765,0.0011126120135346055,-1.0000034929897557,-0.00028881374375961836,12.856330878229214,-3.434480171240432
36.160000000000004,0.9945694386719328,0.0011119200184731717,-1.0000034881736821,-0.00028849018078606713,12.856330878229214,-3.434480171240432
36.17,0.9945784875914325,0.0011096169616598868,-1.0000034833538876,-0.00028880978397896384,12.856480702098471,-3.43448007190951
36.18,0.9945875215340657,0.0011089271619734848,-1.0000034785464478,-0.0002884872877255626,12.856480702098471,-3.43448007190951
36.19,0.9945965405369835,0.0011066316691971956,-1.0000034737353265,-0.00028880584270876545,12.856630026404815,-3.434479972867075
36.2,0.994605544611841,0.001105944058340863,-1.0000034689365465,-0.00028848440971992713,12.856630026404815,-3.434479972867075
36.21,0.9946145337956699,0.0011036561052786263,-1.0000034641341244,-0.00028880191984813607,12.856778852804313,-3.4344798741124865
36.22,0.9946235081000901,0.00110297067672066,-1.0000034593440303,-0.00028848154667550125,12.856778852804313,-3.4344798741124865
36.230000000000004,0.9946324675620145,0.001100690239125247,-1.0000034545503331,-0.0002887980152956757,12.856927182947615,-3.4344797756450878
36.24,0.9946414121930283,0.0011000069863533865,-1.0000034497689503,-0.00028847869850413387,12.856927182947615,-3.4344797756450878
36.25,0.9946503420299252,0.001097734040049585,-1.0000034449840027,-0.0002887941289481999,12.85707501847995,-3.434479677464237
36.26,0.9946592570842557,0.0010970529565671604,-1.000003440211356,-0.0002884758651132312,12.85707501847995,-3.434479677464237
36.27,0.9946681573926955,0.0010947874774575848,-1.000003435435183,-0.0002887902607089144,12.857222361041167,-3.4344795795692904
36.28,0.9946770429667603,0.0010941085567847317,-1.0000034306712968,-0.00028847304641704634,12.857222361041167,-3.4344795795692904
36.29,0.9946859138430076,0.0010918505208427787,-1.000003425903922,-0.00028878641047738615,12.857369212265734,-3.4344794819595843
36.300000000000004,0.9946947700329187,0.001091173756517088,-1.0000034211488202,-0.00028847024232546734,12.857369212265734,-3.4344794819595843
36.31,0.9947036115729335,0.001088923139792745,-1.0000034163902678,-0.0002887825781556749,12.857515573782761,-3.434479384634491
36.32,0.9947124384744986,0.0010882485253656702,-1.0000034116439738,-0.00028846745275015875,12.857515573782761,-3.434479384634491
36.33,0.9947212507739368,0.0010860053039817518,-1.0000034068942665,-0.000288778763646608,12.857661447216024,-3.434479287593337
36.34,0.9947300484826603,0.001085332833025038,-1.0000034021568034,-0.00028846467760615597,12.857661447216024,-3.434479287593337
36.35,0.9947388316368749,0.0010830969831781487,-1.000003397415964,-0.00028877496685197305,12.857806834183975,-3.4344791908354884
36.36,0.9947476002479586,0.0010824266492765603,-1.0000033926873542,-0.000288461916802883,12.857806834183975,-3.4344791908354884
36.37,0.9947563543520006,0.0010801981472366026,-1.0000033879554047,-0.00028877118767320906,12.857951736299754,-3.434479094360294
36.38,0.9947650939603446,0.0010795299439948548,-1.0000033832356703,-0.00028845917025708103,12.857951736299754,-3.434479094360294
36.39,0.9947738191089637,0.0010773087661048368,-1.0000033785126323,-0.0002887674260167514,12.858096155171214,-3.434478998167105
36.4,0.9947825298091675,0.0010766426871405934,-1.0000033738017948,-0.00028845643788095153,12.858096155171214,-3.434478998167105
36.410000000000004,0.9947912260968131,0.0010744288098173533,-1.00000336908769,-0.00028876368178640374,12.858240092400946,-3.4344789022552766
36.42,0.9947999079831763,0.0010737648487674923,-1.0000033643857704,-0.000288453719592871,12.858240092400946,-3.4344789022552766
36.43,0.9948085755039986,0.0010715582484981333,-1.0000033596806193,-0.0002887599548873083,12.858383549586271,-3.4344788066241474
36.44,0.9948172286705217,0.0010708963990151267,-1.0000033549876384,-0.0002884510153056014,12.858383549586271,-3.4344788066241474
36.45,0.9948258675183722,0.0010686970523626947,-1.0000033502914611,-0.0002887562452256416,12.858526528319288,-3.43447871127308
36.46,0.994834492058758,0.0010680373081155554,-1.000003345607439,-0.0002884483249372392,12.858526528319288,-3.43447871127308
36.47,0.9948431023271906,0.001065845191712122,-1.0000033409202558,-0.0002887525527062297,12.858669030186855,-3.434478616201424
36.480000000000004,0.9948516983348443,0.0010651875463867661,-1.0000033362452123,-0.0002884456484043128,12.858669030186855,-3.434478616201424
36.49,0.9948602801171165,0.001063002636938883,-1.0000033315670425,-0.0002887488772393859,12.858811056770648,-3.4344785214085265
36.5,0.9948688476851474,0.0010623470842355152,-1.000003326900997,-0.00028844298562301433,12.858811056770648,-3.4344785214085265
36.51,0.9948774010742204,0.0010601693585212376,-1.0000033222318596,-0.00028874521872940294,12.85895260964713,-3.434478426893738
